ID	adj.P.Val	P.Value	t	logFC	Gene.symbol
236902_at	4.67E-02	2.41E-03	-3.4120219	-2.04561644	LINC00643
202464_s_at	4.67E-02	2.41E-03	-3.411846	-0.93283928	PFKFB3
209538_at	4.67E-02	2.41E-03	-3.4118077	-0.74858873	ZNF32
1552329_at	4.67E-02	2.41E-03	-3.4117081	-0.90291112	RBBP6
201078_at	4.67E-02	2.41E-03	3.4116902	0.82874212	TM9SF2
203835_at	4.67E-02	2.41E-03	-3.4116294	-1.56610798	LRRC32
214433_s_at	4.67E-02	2.41E-03	3.4114187	1.63177724	SELENBP1
210833_at	4.67E-02	2.41E-03	-3.4113182	-2.30410941	PTGER3
221730_at	4.67E-02	2.42E-03	-3.4111729	-1.21369341	COL5A2
226582_at	4.67E-02	2.42E-03	-3.4108519	-0.94873447	LOC400043
1558859_at	4.67E-02	2.42E-03	-3.4104119	-1.5931496	LOC101928623///LOC401320
203919_at	4.68E-02	2.42E-03	-3.4100079	-1.9817365	TCEA2
236435_at	4.68E-02	2.43E-03	-3.409167	-1.38878072	
228238_at	4.68E-02	2.43E-03	-3.4091605	-0.94577513	SNORD77///SNORD76///SNORD74///GAS5///SNORD44///SNORD47///SNORD80///SNORD79///SNORD81
213418_at	4.68E-02	2.43E-03	-3.4090758	-1.08593417	HSPA6
205074_at	4.68E-02	2.43E-03	3.4088795	1.27434453	SLC22A5
1556138_a_at	4.69E-02	2.43E-03	-3.4085067	-1.56031709	
1557285_at	4.70E-02	2.44E-03	-3.4074012	-2.76058121	AREG
230434_at	4.70E-02	2.44E-03	3.4072238	0.89958745	PHOSPHO2
204255_s_at	4.70E-02	2.44E-03	3.4064961	1.30883653	VDR
200738_s_at	4.71E-02	2.45E-03	3.4058179	0.58844086	PGK1
214180_at	4.71E-02	2.45E-03	-3.405576	-0.94099152	MAN1C1
234105_at	4.72E-02	2.45E-03	-3.4046937	-1.99866044	
222154_s_at	4.72E-02	2.45E-03	3.4046039	0.97448389	SPATS2L
228478_at	4.72E-02	2.46E-03	3.4044465	0.88943686	SPPL2A
202206_at	4.72E-02	2.46E-03	-3.4040149	-0.98742145	ARL4C
208614_s_at	4.72E-02	2.46E-03	3.403882	1.02164504	FLNB
204751_x_at	4.72E-02	2.46E-03	3.403864	1.62344139	DSC2
217964_at	4.73E-02	2.46E-03	3.4032618	0.60895223	TTC19
213602_s_at	4.73E-02	2.46E-03	-3.403037	-1.54582377	
242222_at	4.73E-02	2.47E-03	3.4024882	1.50906747	LINC01123///LINC01106
225413_at	4.73E-02	2.47E-03	3.4024404	0.64403044	USMG5
235017_s_at	4.73E-02	2.47E-03	-3.402187	-1.79592584	CSRNP3
205768_s_at	4.73E-02	2.47E-03	3.4018252	1.64531161	SLC27A2
215222_x_at	4.73E-02	2.47E-03	-3.4017408	-0.86600412	MACF1
227569_at	4.74E-02	2.47E-03	3.4013407	0.90571643	LNX2
205769_at	4.74E-02	2.48E-03	3.4003201	1.53605246	SLC27A2
226932_at	4.74E-02	2.48E-03	-3.4001716	-0.88849158	SSPN
223386_at	4.74E-02	2.48E-03	3.4001115	0.75357102	FAM118B
219032_x_at	4.75E-02	2.48E-03	3.3997594	0.99401233	OPN3
206287_s_at	4.75E-02	2.48E-03	-3.3997479	-1.18307412	ITIH4
220800_s_at	4.75E-02	2.49E-03	3.3987763	1.4049654	TMOD3
217774_s_at	4.75E-02	2.49E-03	-3.3984109	-0.81412942	TRMT112
227225_at	4.75E-02	2.49E-03	-3.3981745	-1.64082079	ZNF503
226683_at	4.75E-02	2.49E-03	-3.3977874	-0.78967923	SNX18
222195_s_at	4.75E-02	2.50E-03	3.3977579	1.06719177	TRMO
225419_at	4.75E-02	2.50E-03	3.3977471	0.63722618	MPLKIP
210001_s_at	4.75E-02	2.50E-03	-3.3977251	-1.3450152	SOCS1
226142_at	4.75E-02	2.50E-03	-3.3975489	-1.07042584	GLIPR1
201700_at	4.75E-02	2.50E-03	-3.3974014	-0.69968226	CCND3
1558034_s_at	4.75E-02	2.50E-03	-3.3973077	-1.77601916	CP
202616_s_at	4.75E-02	2.50E-03	-3.3972131	-1.03105914	MECP2
239580_at	4.75E-02	2.50E-03	-3.3971266	-2.28105716	GUCY1A3
209713_s_at	4.75E-02	2.50E-03	3.3970746	2.17465144	SLC35D1
202220_at	4.76E-02	2.50E-03	3.3967571	0.52392911	KIAA0907
214701_s_at	4.76E-02	2.50E-03	-3.3962787	-0.87456352	FN1
212907_at	4.76E-02	2.50E-03	3.3962653	0.9533244	SLC30A1
208951_at	4.76E-02	2.50E-03	3.3961938	0.80751295	ALDH7A1
228141_at	4.76E-02	2.51E-03	-3.3959794	-1.53048024	GPX8
243584_at	4.76E-02	2.51E-03	-3.3958073	-1.44155021	
216704_at	4.76E-02	2.51E-03	-3.3957252	-1.87820138	
205105_at	4.76E-02	2.51E-03	3.3956315	0.84573675	MAN2A1
229194_at	4.76E-02	2.51E-03	3.3954937	0.55332349	PCGF5
241612_at	4.76E-02	2.51E-03	-3.3952611	-1.91619516	FOXD3
241091_at	4.76E-02	2.51E-03	-3.3951975	-1.34475348	AGO3
210756_s_at	4.76E-02	2.51E-03	-3.3948986	-0.90423927	NOTCH2
203661_s_at	4.76E-02	2.51E-03	-3.3947462	-1.6208476	TMOD1
204099_at	4.76E-02	2.52E-03	-3.3942991	-1.66790772	SMARCD3
60474_at	4.77E-02	2.52E-03	3.3937684	1.31477445	FERMT1
217910_x_at	4.77E-02	2.52E-03	3.3934267	0.65333009	MLX
202973_x_at	4.77E-02	2.52E-03	3.3933958	0.73196052	FAM13A
1556935_at	4.77E-02	2.52E-03	-3.3931938	-1.48470136	
1566433_at	4.77E-02	2.52E-03	-3.3931162	-1.47345455	PLD4
230568_x_at	4.77E-02	2.52E-03	-3.3930224	-1.63277565	DLL3
208155_x_at	4.77E-02	2.52E-03	-3.392841	-1.59750825	GAGE12D///GAGE12F///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE1
214007_s_at	4.77E-02	2.53E-03	3.392078	1.14218864	TWF1
205350_at	4.77E-02	2.53E-03	-3.3920641	-1.56512191	CRABP1
238135_at	4.78E-02	2.53E-03	-3.3916555	-1.32599201	AGTRAP
204005_s_at	4.78E-02	2.53E-03	3.3914818	0.74606118	PAWR
223446_s_at	4.78E-02	2.53E-03	-3.3912839	-0.68922395	DTNBP1
212974_at	4.78E-02	2.54E-03	-3.3908926	-0.8273538	DENND3
239013_at	4.79E-02	2.54E-03	-3.3900746	-1.69211927	SEC22C
213503_x_at	4.79E-02	2.54E-03	3.3899064	0.69333469	ANXA2
209094_at	4.79E-02	2.54E-03	3.389759	1.09438544	DDAH1
225019_at	4.79E-02	2.55E-03	3.3895257	0.68353015	CAMK2D
227146_at	4.79E-02	2.55E-03	-3.3894634	-1.38697134	QSOX2
220865_s_at	4.79E-02	2.55E-03	3.3888595	0.93468856	PDSS1
239503_at	4.80E-02	2.55E-03	-3.3884972	-2.09234432	CASC10
